Date,open,high,low,close,volume,SMA,EMA,RSI,GDP,CPI,CPI_inflation_rate,positive,neutral,negative
28-06-2022,142.13,143.422,137.325,137.44,67315328,136.006,138.1816949,36.77540483,25805.791,1.373607576,8.002799821,0.497421583,1.67E-05,0.502561781
29-06-2022,137.46,140.67,136.67,139.23,66242411,136.653,138.3722958,40,25805.791,1.373607576,8.002799821,0.499914487,0.50003184,5.36E-05
30-06-2022,137.25,138.37,133.7737,136.72,98964467,136.782,138.0718784,42.75220372,25805.791,1.373607576,8.002799821,0.748287727,0.251598459,0.000113845
01-07-2022,136.04,139.04,135.66,138.93,71051552,137.669,138.2279005,52.39744273,26272.011,-0.011811914,8.002799821,0.65701192,0.003922449,0.339065604
05-07-2022,137.77,141.61,136.93,141.56,73429641,138.669,138.8337368,63.860252,26272.011,-0.011811914,8.002799821,0.185922157,0.001514988,0.812562823
06-07-2022,141.355,144.12,141.08,142.92,74064254,139.374,139.5766937,64.35028249,26272.011,-0.011811914,8.002799821,0.315340368,0.355180945,0.329478698
07-07-2022,143.29,146.55,143.28,146.35,66253709,140.474,140.808204,65.09955752,26272.011,-0.011811914,8.002799821,0.413552582,0.000305882,0.586141527
08-07-2022,145.265,147.55,145,147.04,64547798,141.351,141.9412578,76.96950445,26272.011,-0.011811914,8.002799821,1.06E-05,8.64E-06,0.999980807
11-07-2022,145.67,146.64,143.78,144.87,63305113,141.672,142.4737564,70.69984448,26272.011,-0.011811914,8.002799821,4.72E-06,8.53E-06,0.999986649
12-07-2022,145.76,148.45,145.05,145.86,77588759,142.092,143.089437,67.32570239,26272.011,-0.011811914,8.002799821,2.98E-08,0.999999881,3.61E-08
13-07-2022,142.99,146.45,142.1201,145.49,71185560,142.897,143.525903,67.67782427,26272.011,-0.011811914,8.002799821,0.333351099,0.335438031,0.331210898
14-07-2022,144.08,148.95,143.25,148.47,78140744,143.821,144.4248297,67.74530271,26272.011,-0.011811914,8.002799821,0.670515452,0.32927585,0.000208681
15-07-2022,149.78,150.86,148.2,150.17,76259931,145.166,145.4694062,65.73012939,26272.011,-0.011811914,8.002799821,0.272674531,0.00028059,0.72704488
18-07-2022,150.74,151.57,146.7,147.07,81420868,145.98,145.7604232,58.97180763,26272.011,-0.011811914,8.002799821,0.330510809,0.666667207,0.002821981
19-07-2022,147.92,151.23,146.91,151,82982367,146.924,146.7130735,72.70596115,26272.011,-0.011811914,8.002799821,0.665859171,0.00016385,0.333976981
20-07-2022,151.12,153.72,150.37,153.04,64823413,147.936,147.8634238,72.93258054,26272.011,-0.011811914,8.002799821,0.336033494,0.525185719,0.138780797
21-07-2022,154.5,155.57,151.94,155.35,65086636,148.836,149.2246195,81.14343029,26272.011,-0.011811914,8.002799821,0.995929897,0.004037126,3.30E-05
22-07-2022,155.39,156.28,153.41,154.09,66675408,149.541,150.1092341,76.17403315,26272.011,-0.011811914,8.002799821,0.995929897,0.004037126,3.30E-05
25-07-2022,154.01,155.04,152.28,152.95,53623945,150.349,150.625737,70.73170732,26272.011,-0.011811914,8.002799821,0.999373138,7.50E-06,0.000619394
26-07-2022,152.265,153.085,150.8,151.6,55138691,150.923,150.8028757,65.80480699,26272.011,-0.011811914,8.002799821,0.9998945,1.29E-06,0.000104235
27-07-2022,152.58,157.33,152.16,156.79,78620688,152.053,151.8914438,67.86447639,26272.011,-0.011811914,8.002799821,0.515387129,0.151419687,0.333193164
28-07-2022,156.98,157.64,154.41,157.35,81378731,152.941,152.8839085,67.72086628,26272.011,-0.011811914,8.002799821,0.498423925,0.501347322,0.000228772
29-07-2022,161.24,163.63,159.5,162.51,101786860,154.175,154.634107,77.49376559,26272.011,-0.011811914,8.002799821,0.028893691,0.969097763,0.002008554
01-08-2022,161.01,163.59,160.89,161.51,67829379,155.619,155.8842694,74.38454347,26272.011,-0.035439928,8.002799821,0.999975562,9.97E-06,1.44E-05
